10024,A POCKET FULL OF RYE,Agatha Christie,YES,14,Mystery Detective,3.11,13,src\ImagesOthers\bookpic1.jpg
10025,THE ABC MURDERS,Agatha Christie,YES,17,Mystery Detective,3.89,88,src\ImagesOthers\bookpic1.jpg
10026,CURTAIN: POIROT'S LAST CASE,Agatha Christie,YES,18,Mystery Detective,1.55,6,src\ImagesOthers\bookpic1.jpg
10027,THE SECRET ADVERSARY,Agatha Christie,YES,21,Mystery Adventure,3.39,30,src\ImagesOthers\bookpic1.jpg
10028,THE MURDER AT THE VICARAGE,Agatha Christie,YES,25,Mystery Detective,4.97,59,src\ImagesOthers\bookpic1.jpg
10029,APPOINTMENT WITH DEATH,Agatha Christie,YES,7,Mystery Detective,4.65,56,src\ImagesOthers\bookpic1.jpg
10030,EVIL UNDER THE SUN,Agatha Christie,YES,27,Mystery Detective,4.13,45,src\ImagesOthers\bookpic1.jpg
10031,SLEEPING MURDER,Agatha Christie,YES,20,Mystery Detective,4.75,33,src\ImagesOthers\bookpic1.jpg
10032,MURDER IN MESOPOTAMIA,Agatha Christie,YES,6,Mystery Detective,4.17,61,src\ImagesOthers\bookpic1.jpg
10033,PARTNERS IN CRIME,Agatha Christie,YES,21,Mystery Short Stories,3.33,68,src\ImagesOthers\bookpic1.jpg
10034,TOWARDS ZERO,Agatha Christie,YES,5,Mystery Detective,4.08,9,src\ImagesOthers\bookpic1.jpg
10035,CROOKED HOUSE,Agatha Christie,YES,18,Mystery Detective,3.63,52,src\ImagesOthers\bookpic1.jpg
10036,THEY DO IT WITH MIRRORS,Agatha Christie,YES,19,Mystery Detective,4.06,38,src\ImagesOthers\bookpic1.jpg
10037,ENDLESS NIGHT,Agatha Christie,YES,4,Mystery Psychological,4.33,14,src\ImagesOthers\bookpic1.jpg
10038,THE HOLLOW,Agatha Christie,YES,18,Mystery Detective,1.65,79,src\ImagesOthers\bookpic1.jpg
10039,BY THE PRICKING OF MY THUMBS,Agatha Christie,YES,0,Mystery Detective,2.26,89,src\ImagesOthers\bookpic1.jpg
10040,THE MIRROR CRACK'D FROM SIDE TO SIDE,Agatha Christie,YES,27,Mystery Detective,2.07,24,src\ImagesOthers\bookpic1.jpg
10041,THE MOVING FINGER,Agatha Christie,YES,20,Mystery Detective,4.21,20,src\ImagesOthers\bookpic1.jpg
10042,ORDEAL BY INNOCENCE,Agatha Christie,YES,25,Mystery,4.11,88,src\ImagesOthers\bookpic1.jpg
10043,SPARKLING CYANIDE,Agatha Christie,YES,11,Mystery Detective,3.99,71,src\ImagesOthers\bookpic1.jpg
10044,DEATH COMES AS THE END,Agatha Christie,YES,1,Historical Mystery,3.83,16,src\ImagesOthers\bookpic1.jpg
10045,THE PALE HORSE,Agatha Christie,YES,21,Mystery Thriller,1.95,40,src\ImagesOthers\bookpic1.jpg
10046,MURDER IN THE MEWS,Agatha Christie,YES,3,Mystery Detective,1.86,3,src\ImagesOthers\bookpic1.jpg
10047,FIVE LITTLE PIGS,Agatha Christie,YES,2,Mystery Adventure,4.98,10,src\ImagesOthers\bookpic1.jpg
10048,THE THIRTEEN PROBLEMS,Agatha Christie,YES,18,Mystery Detective,3.52,52,src\ImagesOthers\bookpic1.jpg
10049,LORD EDGWARE DIES,Agatha Christie,YES,12,Mystery Detective,2.36,72,src\ImagesOthers\bookpic1.jpg
10050,MRS. MCGINTY'S DEAD,Agatha Christie,YES,23,Mystery Detective,4.04,92,src\ImagesOthers\bookpic1.jpg
10051,CAT AMONG THE PIGEONS,Agatha Christie,YES,11,Mystery Detective,3.62,44,src\ImagesOthers\bookpic1.jpg
10052,HICKORY DICKORY DOCK,Agatha Christie,YES,7,Mystery Detective,1.1,76,src\ImagesOthers\bookpic1.jpg
10053,THE BIG FOUR,Agatha Christie,YES,17,Mystery Short Stories,3.9,38,src\ImagesOthers\bookpic1.jpg
10054,THE MIRROR CRACK'D FROM SIDE TO SIDE,Agatha Christie,YES,29,Mystery Detective,1.13,11,src\ImagesOthers\bookpic1.jpg
10055,THE MURDER ON THE LINKS,Agatha Christie,YES,23,Mystery Detective,4.96,75,src\ImagesOthers\bookpic1.jpg
10056,SAD CYPRESS,Agatha Christie,YES,4,Mystery Detective,1.6,51,src\ImagesOthers\bookpic1.jpg
10057,ONE TWO BUCKLE MY SHOE,Agatha Christie,YES,4,Mystery Psychological,4.25,70,src\ImagesOthers\bookpic1.jpg
10058,TAKEN AT THE FLOOD,Agatha Christie,YES,16,Mystery Detective,3.74,62,src\ImagesOthers\bookpic1.jpg
10059,THE CLOCKS,Agatha Christie,YES,22,Mystery Detective,4.9,81,src\ImagesOthers\bookpic1.jpg
10060,NEMESIS,Agatha Christie,YES,30,Mystery Detective,4.17,64,src\ImagesOthers\bookpic1.jpg
10061,THE CARIBBEAN MYSTERY,Agatha Christie,YES,19,Mystery Detective,4.11,43,src\ImagesOthers\bookpic1.jpg
10062,WHY DIDN'T THEY ASK EVANS?,Agatha Christie,YES,9,Mystery,3.75,100,src\ImagesOthers\bookpic1.jpg
10063,DEAD MAN'S FOLLY,Agatha Christie,YES,10,Mystery Detective,2.77,98,src\ImagesOthers\bookpic1.jpg
10064,AFTER THE FUNERAL,Agatha Christie,YES,20,Historical Mystery,4.03,47,src\ImagesOthers\bookpic1.jpg
10065,THIRD GIRL,Agatha Christie,YES,3,Mystery Thriller,4.63,7,src\ImagesOthers\bookpic1.jpg
10066,DEAR MRS BIRD,Aj Pearce,YES,7,Historical Fiction,3.79,17,src\ImagesOthers\bookpic1.jpg
10067,CRY THE BELOVED COUNTRY,Alan Paton,YES,25,Political,3.8,99,src\ImagesOthers\bookpic1.jpg
10068,THE OUTSIDER,Albert Camus,YES,28,Existentialism,4.22,42,src\ImagesOthers\bookpic1.jpg
10069,THE STRANGER,Albert Camus,YES,22,Existentialism,3.44,76,src\ImagesOthers\bookpic1.jpg
10070,BRAVE NEW WORLD,Aldous Huxley,YES,5,Dystopian Fiction,4.3,55,src\ImagesOthers\bookpic1.jpg
10071,THE SILENT PATIENT,Alex Michaelides,YES,25,Thriller,1.27,65,src\ImagesOthers\bookpic1.jpg
10072,PORTUGUESE IRREGULAR VERBS,Alexander McCall Smith,YES,19,Mystery,2.65,65,src\ImagesOthers\bookpic1.jpg
10073,THE FINER POINTS OF SAUSAGE DOGS,Alexander McCall Smith,YES,3,Mystery,2.99,58,src\ImagesOthers\bookpic1.jpg
10074,AT THE VILLA OF REDUCED CIRCUMSTANCES,Alexander McCall Smith,YES,10,Mystery,3.67,30,src\ImagesOthers\bookpic1.jpg
10075,UNUSUAL USES FOR OLIVE OIL,Alexander McCall Smith,YES,10,Mystery,2.88,35,src\ImagesOthers\bookpic1.jpg
10076,YOUR INNER HEDGEHOG,Alexander McCall Smith,YES,9,Mystery,4.79,64,src\ImagesOthers\bookpic1.jpg
10077,THE NO. 1 LADIES' DETECTIVE AGENCY,Alexander McCall Smith,YES,17,Mystery,3.16,26,src\ImagesOthers\bookpic1.jpg
10078,TEARS OF THE GIRAFFE,Alexander McCall Smith,YES,15,Mystery,2.04,38,src\ImagesOthers\bookpic1.jpg
10079,MORALITY FOR BEAUTIFUL GIRLS,Alexander McCall Smith,YES,12,Mystery,2.04,13,src\ImagesOthers\bookpic1.jpg
10080,THE KALAHARI TYPING SCHOOL FOR MEN,Alexander McCall Smith,YES,15,Mystery,1.07,63,src\ImagesOthers\bookpic1.jpg
10081,THE FULL CUPBOARD OF LIFE,Alexander McCall Smith,YES,8,Mystery,4.39,6,src\ImagesOthers\bookpic1.jpg
10082,IN THE COMPANY OF CHEERFUL LADIES,Alexander McCall Smith,YES,29,Mystery,2.01,58,src\ImagesOthers\bookpic1.jpg
10083,BLUE SHOES AND HAPPINESS,Alexander McCall Smith,YES,14,Mystery,2.5,80,src\ImagesOthers\bookpic1.jpg
10084,THE GOOD HUSBAND OF ZEBRA DRIVE,Alexander McCall Smith,YES,18,Mystery,2.68,66,src\ImagesOthers\bookpic1.jpg
10085,THE MIRACLE AT SPEEDY MOTORS,Alexander McCall Smith,YES,5,Mystery,4.71,18,src\ImagesOthers\bookpic1.jpg
10086,TEA TIME FOR THE TRADITIONALLY BUILT,Alexander McCall Smith,YES,8,Mystery,3.09,30,src\ImagesOthers\bookpic1.jpg
10087,THE DOUBLE COMFORT SAFARI CLUB,Alexander McCall Smith,YES,4,Mystery,2.81,30,src\ImagesOthers\bookpic1.jpg
10088,THE SATURDAY BIG TENT WEDDING PARTY,Alexander McCall Smith,YES,6,Mystery,4.98,58,src\ImagesOthers\bookpic1.jpg
10089,THE LIMPOPO ACADEMY OF PRIVATE DETECTION,Alexander McCall Smith,YES,5,Mystery,3.96,5,src\ImagesOthers\bookpic1.jpg
10090,THE MINOR ADJUSTMENT BEAUTY SALON,Alexander McCall Smith,YES,25,Mystery,3.63,3,src\ImagesOthers\bookpic1.jpg
10091,THE HANDSOME MAN'S DE LUXE CAFÉ,Alexander McCall Smith,YES,19,Mystery,4.73,61,src\ImagesOthers\bookpic1.jpg
10092,THE WOMAN WHO WALKED IN SUNSHINE,Alexander McCall Smith,YES,22,Mystery,1.9,69,src\ImagesOthers\bookpic1.jpg
10093,PRECIOUS AND GRACE,Alexander McCall Smith,YES,27,Mystery,2.09,48,src\ImagesOthers\bookpic1.jpg
10094,THE HOUSE OF UNEXPECTED SISTERS,Alexander McCall Smith,YES,21,Mystery,2.19,39,src\ImagesOthers\bookpic1.jpg
10095,THE COLORS OF ALL THE CATTLE,Alexander McCall Smith,YES,20,Mystery,3.81,17,src\ImagesOthers\bookpic1.jpg
10096,TO THE LAND OF LONG LOST FRIENDS,Alexander McCall Smith,YES,23,Mystery,1.57,47,src\ImagesOthers\bookpic1.jpg
10097,HOW TO RAISE AN ELEPHANT,Alexander McCall Smith,YES,4,Mystery,4.31,29,src\ImagesOthers\bookpic1.jpg
10098,THE JOY AND LIGHT BUS COMPANY,Alexander McCall Smith,YES,14,Mystery,2.1,92,src\ImagesOthers\bookpic1.jpg
10099,A SONG OF COMFORTABLE CHAIRS,Alexander McCall Smith,YES,21,Mystery,1.67,14,src\ImagesOthers\bookpic1.jpg
10100,FROM A FAR AND LOVELY COUNTRY,Alexander McCall Smith,YES,0,Mystery,2.73,64,src\ImagesOthers\bookpic1.jpg
10101,THE SUNDAY PHILOSOPHY CLUB,Alexander McCall Smith,YES,9,Mystery,3.63,27,src\ImagesOthers\bookpic1.jpg
10102,FRIENDS LOVERS CHOCOLATE,Alexander McCall Smith,YES,27,Mystery,2.4,67,src\ImagesOthers\bookpic1.jpg
10103,THE RIGHT ATTITUDE TO RAIN,Alexander McCall Smith,YES,28,Mystery,2.35,58,src\ImagesOthers\bookpic1.jpg
10104,THE CAREFUL USE OF COMPLIMENTS,Alexander McCall Smith,YES,16,Mystery,3.09,3,src\ImagesOthers\bookpic1.jpg
10105,THE COMFORT OF SATURDAYS,Alexander McCall Smith,YES,5,Mystery,2.57,17,src\ImagesOthers\bookpic1.jpg
10106,THE LOST ART OF GRATITUDE,Alexander McCall Smith,YES,13,Mystery,2.38,94,src\ImagesOthers\bookpic1.jpg
10107,THE CHARMING QUIRKS OF OTHERS,Alexander McCall Smith,YES,14,Mystery,4.02,78,src\ImagesOthers\bookpic1.jpg
10108,THE FORGOTTEN AFFAIRS OF YOUTH,Alexander McCall Smith,YES,17,Mystery,3.54,72,src\ImagesOthers\bookpic1.jpg
10109,THE PERILS OF MORNING COFFEE,Alexander McCall Smith,YES,15,Mystery,2.24,61,src\ImagesOthers\bookpic1.jpg
10110,THE UNCOMMON APPEAL OF CLOUDS,Alexander McCall Smith,YES,8,Mystery,2.86,41,src\ImagesOthers\bookpic1.jpg
10111,THE NOVEL HABITS OF HAPPINESS,Alexander McCall Smith,YES,27,Mystery,3.14,74,src\ImagesOthers\bookpic1.jpg
10112,AT THE REUNION BUFFET,Alexander McCall Smith,YES,23,Mystery,1.32,27,src\ImagesOthers\bookpic1.jpg
10113,SWEET THOUGHTFUL VALENTINE,Alexander McCall Smith,YES,23,Mystery,4.52,56,src\ImagesOthers\bookpic1.jpg
10114,A DISTANT VIEW OF EVERYTHING,Alexander McCall Smith,YES,8,Mystery,3.81,43,src\ImagesOthers\bookpic1.jpg
10115,THE QUIET SIDE OF PASSION,Alexander McCall Smith,YES,7,Mystery,1.09,53,src\ImagesOthers\bookpic1.jpg
10116,THE GEOMETRY OF HOLDING HANDS,Alexander McCall Smith,YES,11,Mystery,3.94,3,src\ImagesOthers\bookpic1.jpg
10117,THE SWEET REMNANTS OF SUMMER,Alexander McCall Smith,YES,7,Mystery,4.39,17,src\ImagesOthers\bookpic1.jpg
10118,THE CONDITIONS OF UNCONDITIONAL LOVE,Alexander McCall Smith,YES,5,Mystery,2.09,66,src\ImagesOthers\bookpic1.jpg
10119,44 SCOTLAND STREET,Alexander McCall Smith,YES,13,Mystery,2.85,59,src\ImagesOthers\bookpic1.jpg
10120,ESPRESSO TALES,Alexander McCall Smith,YES,2,Mystery,3.83,49,src\ImagesOthers\bookpic1.jpg
10121,LOVE OVER SCOTLAND,Alexander McCall Smith,YES,23,Mystery,3.31,70,src\ImagesOthers\bookpic1.jpg
10122,THE WORLD ACCORDING TO BERTIE,Alexander McCall Smith,YES,30,Mystery,1.98,35,src\ImagesOthers\bookpic1.jpg
10123,THE UNBEARABLE LIGHTNESS OF SCONES,Alexander McCall Smith,YES,27,Mystery,4.82,20,src\ImagesOthers\bookpic1.jpg
10124,THE IMPORTANCE OF BEING SEVEN,Alexander McCall Smith,YES,22,Mystery,2.56,14,src\ImagesOthers\bookpic1.jpg
10125,BERTIE PLAYS THE BLUES,Alexander McCall Smith,YES,14,Mystery,4.87,21,src\ImagesOthers\bookpic1.jpg
10126,SUNSHINE ON SCOTLAND STREET,Alexander McCall Smith,YES,30,Mystery,3.56,72,src\ImagesOthers\bookpic1.jpg
10127,BERTIE'S GUIDE TO LIFE AND MOTHERS,Alexander McCall Smith,YES,5,Mystery,4.66,37,src\ImagesOthers\bookpic1.jpg
10128,THE REVOLVING DOOR OF LIFE,Alexander McCall Smith,YES,6,Mystery,3.32,27,src\ImagesOthers\bookpic1.jpg
10129,THE BERTIE PROJECT,Alexander McCall Smith,YES,21,Mystery,3.28,6,src\ImagesOthers\bookpic1.jpg
10130,A TIME OF LOVE AND TARTAN,Alexander McCall Smith,YES,20,Mystery,3.17,40,src\ImagesOthers\bookpic1.jpg
10131,THE PEPPERMINT TEA CHRONICLES,Alexander McCall Smith,YES,23,Mystery,2.85,69,src\ImagesOthers\bookpic1.jpg
10132,A PROMISE OF ANKLES,Alexander McCall Smith,YES,27,Mystery,4.48,27,src\ImagesOthers\bookpic1.jpg
10133,LOVE IN THE TIME OF BERTIE,Alexander McCall Smith,YES,10,Mystery,3.72,6,src\ImagesOthers\bookpic1.jpg
10134,THE ENIGMA OF GARLIC,Alexander McCall Smith,YES,3,Mystery,1.98,94,src\ImagesOthers\bookpic1.jpg
10135,THE STELLAR DEBUT OF GALACTICA MACFEE,Alexander McCall Smith,YES,6,Mystery,3.21,45,src\ImagesOthers\bookpic1.jpg
10136,CORDUROY MANSIONS,Alexander McCall Smith,YES,27,Mystery,1.09,94,src\ImagesOthers\bookpic1.jpg
10137,THE DOG WHO CAME IN FROM THE COLD,Alexander McCall Smith,YES,2,Mystery,3.68,62,src\ImagesOthers\bookpic1.jpg
10138,A CONSPIRACY OF FRIENDS,Alexander McCall Smith,YES,26,Mystery,3.69,14,src\ImagesOthers\bookpic1.jpg
10139,MY ITALIAN BULLDOZER,Alexander McCall Smith,YES,24,Mystery,1.24,90,src\ImagesOthers\bookpic1.jpg
10140,THE SECOND WORST RESTAURANT IN FRANCE,Alexander McCall Smith,YES,10,Mystery,1.54,42,src\ImagesOthers\bookpic1.jpg
10141,THE STRANGE CASE OF THE MODERATE EXTREMISTS (EBOOK ONLY),Alexander McCall Smith,YES,1,Mystery,2.89,90,src\ImagesOthers\bookpic1.jpg
10142,THE DEPARTMENT OF SENSITIVE CRIMES (HIS GIVEN NAME IS STYLISED AS ÄLEXANDER ON THE COVER),Alexander McCall Smith,YES,27,Mystery,3.33,65,src\ImagesOthers\bookpic1.jpg
10143,VARG IN LOVE,Alexander McCall Smith,YES,18,Mystery,2.5,95,src\ImagesOthers\bookpic1.jpg
10144,THE TALENTED MR. VARG,Alexander McCall Smith,YES,1,Mystery,1.68,46,src\ImagesOthers\bookpic1.jpg
10145,THE MAN WITH THE SILVER SAAB,Alexander McCall Smith,YES,7,Mystery,4.15,69,src\ImagesOthers\bookpic1.jpg
10146,THE DISCREET CHARM OF THE BIG BAD WOLF,Alexander McCall Smith,YES,15,Mystery,1.26,31,src\ImagesOthers\bookpic1.jpg
10147,LA'S ORCHESTRA SAVES THE WORLD,Alexander McCall Smith,YES,14,Mystery,2.33,54,src\ImagesOthers\bookpic1.jpg
10148,TRAINS AND LOVERS,Alexander McCall Smith,YES,4,Mystery,3.5,32,src\ImagesOthers\bookpic1.jpg
10149,THE FOREVER GIRL,Alexander McCall Smith,YES,17,Mystery,4.83,96,src\ImagesOthers\bookpic1.jpg
10150,FATTY O'LEARY'S DINNER PARTY,Alexander McCall Smith,YES,30,Mystery,3.28,35,src\ImagesOthers\bookpic1.jpg
10151,EMMA: A MODERN RETELLING,Alexander McCall Smith,YES,8,Mystery,3.34,60,src\ImagesOthers\bookpic1.jpg
10152,THE GOOD PILOT PETER WOODHOUSE,Alexander McCall Smith,YES,18,Mystery,2.24,75,src\ImagesOthers\bookpic1.jpg
10153,THE PAVILION IN THE CLOUDS,Alexander McCall Smith,YES,9,Mystery,1.24,33,src\ImagesOthers\bookpic1.jpg
10154,THE PRIVATE LIFE OF SPIES,Alexander McCall Smith,YES,21,Mystery,1.23,73,src\ImagesOthers\bookpic1.jpg
10155,THE LOVE STORY OF HERB LA FOUCHE,Alexander McCall Smith,YES,21,Mystery,4.05,84,src\ImagesOthers\bookpic1.jpg
10156,CHILDREN OF WAX: AFRICAN FOLK TALES,Alexander McCall Smith,YES,20,Short Stories,1.73,88,src\ImagesOthers\bookpic1.jpg
10157,HEAVENLY DATE AND OTHER FLIRTATIONS,Alexander McCall Smith,YES,8,Short Stories,2.61,72,src\ImagesOthers\bookpic1.jpg
10158,THE GIRL WHO MARRIED A LION AND OTHER TALES FROM AFRICA,Alexander McCall Smith,YES,19,Short Stories,2.77,93,src\ImagesOthers\bookpic1.jpg
10159,BABOONS WHO WENT THIS WAY AND THAT (TALES FROM AFRICA),Alexander McCall Smith,YES,28,Short Stories,4.19,75,src\ImagesOthers\bookpic1.jpg
10160,CHANCE DEVELOPMENTS: UNEXPECTED LOVE STORIES,Alexander McCall Smith,YES,21,Short Stories,1.98,26,src\ImagesOthers\bookpic1.jpg
10161,MARVELLOUS MIX-UPS,Alexander McCall Smith,YES,23,Short Stories,2.76,65,src\ImagesOthers\bookpic1.jpg
10162,PIANOS AND FLOWERS,Alexander McCall Smith,YES,8,Short Stories,3.62,39,src\ImagesOthers\bookpic1.jpg
10163,TINY TALES,Alexander McCall Smith,YES,1,Short Stories,4.69,35,src\ImagesOthers\bookpic1.jpg
10164,THE EXQUISITE ART OF GETTING EVEN,Alexander McCall Smith,YES,13,Short Stories,2.79,39,src\ImagesOthers\bookpic1.jpg
10165,THE WHITE HIPPO,Alexander McCall Smith,YES,6,Children,2.26,53,src\ImagesOthers\bookpic1.jpg
10166,THE LITTLE THEATRE,Alexander McCall Smith,YES,19,Children,4.64,95,src\ImagesOthers\bookpic1.jpg
10167,THE PERFECT HAMBURGER,Alexander McCall Smith,YES,30,Children,2.26,56,src\ImagesOthers\bookpic1.jpg
10168,ON THE ROAD,Alexander McCall Smith,YES,22,Children,1.25,88,src\ImagesOthers\bookpic1.jpg
10169,ALIX AND THE TIGERS,Alexander McCall Smith,YES,30,Children,4.51,8,src\ImagesOthers\bookpic1.jpg
10170,FILM BOY,Alexander McCall Smith,YES,9,Children,1.26,63,src\ImagesOthers\bookpic1.jpg
10171,MIKE'S MAGIC SEEDS,Alexander McCall Smith,YES,24,Children,3.78,53,src\ImagesOthers\bookpic1.jpg
10172,UNCLE GANGSTER,Alexander McCall Smith,YES,4,Children,1,18,src\ImagesOthers\bookpic1.jpg
10173,JEFFREY'S JOKE MACHINE,Alexander McCall Smith,YES,25,Children,3.91,26,src\ImagesOthers\bookpic1.jpg
10174,SUZY'S MAGICIAN,Alexander McCall Smith,YES,5,Children,3.69,43,src\ImagesOthers\bookpic1.jpg
10175,THE ICE-CREAM BICYCLE,Alexander McCall Smith,YES,28,Children,2.64,83,src\ImagesOthers\bookpic1.jpg
10176,THE TIN DOG,Alexander McCall Smith,YES,22,Children,3.26,15,src\ImagesOthers\bookpic1.jpg
10177,MARZIPAN MAX,Alexander McCall Smith,YES,10,Children,3.23,47,src\ImagesOthers\bookpic1.jpg
10178,THE SPAGHETTI TANGLE,Alexander McCall Smith,YES,21,Children,3.93,100,src\ImagesOthers\bookpic1.jpg
10179,CALCULATOR ANNIE,Alexander McCall Smith,YES,17,Children,4.85,30,src\ImagesOthers\bookpic1.jpg
10180,SPRINGY JANE,Alexander McCall Smith,YES,24,Children,4.53,86,src\ImagesOthers\bookpic1.jpg
10181,THE DOUGHNUT RING,Alexander McCall Smith,YES,15,Children,2.51,54,src\ImagesOthers\bookpic1.jpg
10182,THE PRINCESS TRICK,Alexander McCall Smith,YES,3,Children,1.95,43,src\ImagesOthers\bookpic1.jpg
10183,MY CHAMELEON UNCLE,Alexander McCall Smith,YES,27,Children,4.79,28,src\ImagesOthers\bookpic1.jpg
10184,THE MUSCLE MACHINE,Alexander McCall Smith,YES,29,Children,3.3,90,src\ImagesOthers\bookpic1.jpg
10185,CRAZY CROCS,Alexander McCall Smith,YES,19,Children,1.97,34,src\ImagesOthers\bookpic1.jpg
10186,PADDY AND THE RATCATCHER,Alexander McCall Smith,YES,10,Children,3.02,11,src\ImagesOthers\bookpic1.jpg
10187,TEACHER TROUBLE,Alexander McCall Smith,YES,23,Children,2.08,67,src\ImagesOthers\bookpic1.jpg
10188,THE BANANA MACHINE,Alexander McCall Smith,YES,18,Children,3.79,62,src\ImagesOthers\bookpic1.jpg
10189,WHO INVENTED PEANUT BUTTER?,Alexander McCall Smith,YES,12,Children,1.86,63,src\ImagesOthers\bookpic1.jpg
10190,BILLY RUBBISH,Alexander McCall Smith,YES,18,Children,1.34,1,src\ImagesOthers\bookpic1.jpg
10191,THE BUBBLEGUM TREE,Alexander McCall Smith,YES,1,Children,1.38,26,src\ImagesOthers\bookpic1.jpg
10192,THE WATERMELON BOYS,Alexander McCall Smith,YES,22,Children,2.9,21,src\ImagesOthers\bookpic1.jpg
10193,THE POPCORN PIRATES,Alexander McCall Smith,YES,19,Children,3.18,55,src\ImagesOthers\bookpic1.jpg
10194,MONKEY BOY,Alexander McCall Smith,YES,12,Children,4.87,37,src\ImagesOthers\bookpic1.jpg
10195,DREAM ANGUS,Alexander McCall Smith,YES,21,Children,1.76,19,src\ImagesOthers\bookpic1.jpg
10196,GOOD DOG LION,Alexander McCall Smith,YES,29,Children,1.99,100,src\ImagesOthers\bookpic1.jpg
10197,FREDDIE MOLE LION TAMER,Alexander McCall Smith,YES,5,Children,4.62,94,src\ImagesOthers\bookpic1.jpg
10198,HARI AND HIS ELECTRIC FEET,Alexander McCall Smith,YES,2,Children,2.92,32,src\ImagesOthers\bookpic1.jpg
10199,MAX CHAMPION AND THE GREAT RACE CAR ROBBERY,Alexander McCall Smith,YES,5,Children,2.1,69,src\ImagesOthers\bookpic1.jpg
10200,AKIMBO AND THE ELEPHANTS,Alexander McCall Smith,YES,10,Children,2.31,23,src\ImagesOthers\bookpic1.jpg
10201,AKIMBO AND THE LIONS,Alexander McCall Smith,YES,14,Children,4.52,79,src\ImagesOthers\bookpic1.jpg
10202,AKIMBO AND THE CROCODILE MAN,Alexander McCall Smith,YES,8,Children,1.03,93,src\ImagesOthers\bookpic1.jpg
10203,AKIMBO AND THE SNAKES,Alexander McCall Smith,YES,10,Children,1.53,34,src\ImagesOthers\bookpic1.jpg
10204,AKIMBO AND THE BABOONS,Alexander McCall Smith,YES,10,Children,3.86,73,src\ImagesOthers\bookpic1.jpg
10205,THE FIVE LOST AUNTS OF HARRIET BEAN,Alexander McCall Smith,YES,1,Children,2.73,98,src\ImagesOthers\bookpic1.jpg
10206,HARRIET BEAN AND THE LEAGUE OF CHEATS,Alexander McCall Smith,YES,22,Children,3.17,8,src\ImagesOthers\bookpic1.jpg
10207,THE COWGIRL AUNT OF HARRIET BEAN,Alexander McCall Smith,YES,16,Children,3.43,59,src\ImagesOthers\bookpic1.jpg
10208,MAX & MADDY AND THE BURSTING BALLOONS MYSTERY,Alexander McCall Smith,YES,0,Children,3.21,3,src\ImagesOthers\bookpic1.jpg
